service_id,vehicle_id,service_date,service_type,resolution_days,service_cost
SERV-00001,VEH-0522,2023-06-26,Routine Maintenance,27,181.8
SERV-00002,VEH-0094,2025-12-02,Inspection,29,787.09
SERV-00003,VEH-0613,2024-10-02,Emergency Repair,11,576.85
SERV-00004,VEH-0556,2023-05-25,Repair,28,708.97
SERV-00005,VEH-0026,2025-08-19,Emergency Repair,23,1002.89
SERV-00006,VEH-0518,2025-09-01,Routine Maintenance,4,1151.01
SERV-00007,VEH-0286,2024-01-12,Routine Maintenance,11,564.95
SERV-00008,VEH-0291,2024-06-15,Inspection,23,204.17
SERV-00009,VEH-0022,2025-10-15,Repair,16,253.65
SERV-00010,VEH-0750,2024-10-03,Routine Maintenance,9,935.74
SERV-00011,VEH-0439,2024-11-17,Routine Maintenance,30,1285.68
SERV-00012,VEH-0046,2023-12-23,Emergency Repair,27,1183.06
SERV-00013,VEH-0301,2025-08-19,Inspection,4,1147.87
SERV-00014,VEH-0774,2023-05-08,Routine Maintenance,25,1343.04
SERV-00015,VEH-0017,2025-01-17,Repair,16,56.29
SERV-00016,VEH-0349,2023-05-07,Emergency Repair,27,898.43
SERV-00017,VEH-0175,2025-03-23,Repair,23,888.9
SERV-00018,VEH-0309,2023-04-24,Routine Maintenance,13,1003.41
SERV-00019,VEH-0011,2025-07-04,Inspection,17,1328.02
SERV-00020,VEH-0142,2025-06-13,Repair,9,626.91
SERV-00021,VEH-0858,2024-03-12,Inspection,15,1216.96
SERV-00022,VEH-0292,2024-04-14,Emergency Repair,20,1065.02
SERV-00023,VEH-0367,2025-10-18,Inspection,27,1067.17
SERV-00024,VEH-0178,2025-06-18,Repair,7,354.08
SERV-00025,VEH-0068,2023-12-08,Inspection,30,1024.94
SERV-00026,VEH-0581,2025-06-08,Repair,17,836.61
SERV-00027,VEH-0626,2024-04-25,Routine Maintenance,25,560.74
SERV-00028,VEH-0186,2025-01-27,Emergency Repair,22,1134.41
SERV-00029,VEH-0925,2025-07-02,Inspection,29,1278.59
SERV-00030,VEH-0397,2024-06-28,Routine Maintenance,1,602.26
SERV-00031,VEH-0442,2024-04-04,Routine Maintenance,7,437.12
SERV-00032,VEH-0120,2024-10-09,Inspection,22,413.31
